p10,p50,p90,mean,std,failure_prob_30,engine_id
3.516587018966675,3.9928674697875977,4.603092193603516,4.065018177032471,0.3570130169391632,1.0,1
2.0514743328094482,2.305417776107788,2.8231639862060547,2.3639941215515137,0.25431546568870544,1.0,2
2.9086036682128906,3.207984685897827,3.6123931407928467,3.258272409439087,0.20080991089344025,1.0,3
3.2355916500091553,3.5266361236572266,3.8488099575042725,3.4739725589752197,0.22629526257514954,1.0,4
1.7660704851150513,2.009437322616577,2.589799165725708,2.1422767639160156,0.3204851448535919,1.0,5
1.917937994003296,2.0812666416168213,2.3921077251434326,2.1564226150512695,0.17631401121616364,1.0,6
1.7671160697937012,2.0368802547454834,2.2389068603515625,2.0131428241729736,0.18924888968467712,1.0,7
0.9506009817123413,1.2199887037277222,1.3880597352981567,1.1892341375350952,0.16729870438575745,1.0,8
2.0011348724365234,2.0947864055633545,2.17325758934021,2.0987911224365234,0.06377829611301422,1.0,9
4.318873405456543,4.674393653869629,5.184382438659668,4.735644340515137,0.3560546338558197,1.0,10
3.0351505279541016,3.3267836570739746,3.8828439712524414,3.465480089187622,0.3969138264656067,1.0,11
6.525640964508057,7.28784704208374,7.977850437164307,7.266761779785156,0.5085570812225342,1.0,12
4.018198490142822,4.323618412017822,4.829121112823486,4.38386344909668,0.30534130334854126,1.0,13
2.790358066558838,3.0601155757904053,3.1123735904693604,2.9682133197784424,0.15183325111865997,1.0,14
1.925077199935913,2.090348958969116,2.305615186691284,2.0869247913360596,0.17722296714782715,1.0,15
1.2648719549179077,1.4470902681350708,1.6274621486663818,1.4433571100234985,0.15389318764209747,1.0,16
0.42970991134643555,0.8160289525985718,1.0721495151519775,0.7893872261047363,0.21035073697566986,1.0,17
3.1647157669067383,3.6025705337524414,4.0147905349731445,3.5861992835998535,0.336438924074173,1.0,18
4.67119026184082,5.011166095733643,5.371023178100586,5.016551971435547,0.2571515738964081,1.0,19
2.4630322456359863,2.7080202102661133,2.8598527908325195,2.6756832599639893,0.17437149584293365,1.0,20
