tx_index,original_amount,cf_amount,original_risk,cf_risk,key_feature_changed,change_magnitude
45481,5460002.91,0.0,0.4935229028506351,0.14805687085519054,newbalanceOrig,0.0
22120,3666040.44,0.0,0.4891441624575148,0.14674324873725444,oldbalanceOrg,0.0
14071,2662734.59,0.0,0.4605874745630237,0.1381762423689071,newbalanceOrig,0.0
25719,1277212.77,0.0,0.43183548162976626,0.12955064448892986,newbalanceOrig,0.0
54680,1933920.8,0.0,0.430377859137114,0.1291133577411342,oldbalanceOrg,0.0
7140,1096187.24,0.0,0.41846308185586717,0.12553892455676013,newbalanceOrig,0.0
33922,963532.14,0.0,0.4143827975112969,0.12431483925338907,newbalanceOrig,0.0
54873,17670.78,0.0,0.4048741818862273,0.12146225456586819,balance_error_orig,0.0
2605,1154353.99,0.0,0.397767182024788,0.1193301546074364,newbalanceOrig,0.0
59449,556218.01,0.0,0.3862502522832778,0.11587507568498334,newbalanceOrig,0.0
34396,503405.88,0.0,0.3835341161755744,0.11506023485267232,newbalanceOrig,0.0
61794,2412788.28,0.0,0.38096245403121604,0.1142887362093648,newbalanceOrig,0.0
2010,1078013.76,0.0,0.3783330329049973,0.11349990987149919,oldbalanceOrg,0.0
27915,1000379.02,0.0,0.37724403255809885,0.11317320976742964,oldbalanceOrg,0.0
65764,2392764.23,0.0,0.3735312258025288,0.11205936774075863,newbalanceOrig,0.0
56909,13704.0,0.0,0.37169088701160746,0.11150726610348223,newbalanceOrig,0.0
52881,1177509.44,0.0,0.36550801695514445,0.10965240508654334,oldbalanceOrg,0.0
33468,1103800.01,0.0,0.3648642396834366,0.10945927190503098,oldbalanceOrg,0.0
630,2106899.77,0.0,0.36457142881883126,0.10937142864564937,oldbalanceOrg,0.0
56987,1072075.87,0.0,0.36200485822576345,0.10860145746772903,oldbalanceOrg,0.0
