EngineID,Cycle,Max_Cycle,OpSetting_1,OpSetting_2,Sensor_1_TotalTemp,Sensor_2_LPC,Sensor_3_HPC,Sensor_4_LPT,Sensor_5_Bypass,RUL,Sensor_1_TotalTemp_rolling_mean_5,Sensor_1_TotalTemp_rolling_std_5,Sensor_2_LPC_rolling_mean_5,Sensor_2_LPC_rolling_std_5,Sensor_3_HPC_rolling_mean_5,Sensor_3_HPC_rolling_std_5,Sensor_4_LPT_rolling_mean_5,Sensor_4_LPT_rolling_std_5,Sensor_5_Bypass_rolling_mean_5,Sensor_5_Bypass_rolling_std_5,degradation_acceleration,RUL_LSTM_Pred
1,1,222,0.001,0.0001,517.57,643.7,1582.37,48.17,520.74,221,517.57,0.0,643.7,0.0,1582.37,0.0,48.17,0.0,520.74,0.0,0.0,
1,2,222,0.0042,0.0001,518.42,646.9,1583.83,47.26,522.2,220,517.995,0.601040764008501,645.3,2.262741699796944,1583.1,1.0323759005323851,47.715,0.6434671708797634,521.47,1.0323759005323851,0.0,
1,3,222,0.0,0.0007,521.59,646.8,1567.8,47.81,521.4,219,519.1933333333333,2.118639500560039,645.8000000000001,1.8193405398660203,1578.0,8.863571514914298,47.74666666666667,0.4582939377008347,521.4466666666667,0.7311178655547707,0.0,
1,4,222,0.001,0.0001,518.33,642.63,1579.81,48.09,521.54,218,518.9775,1.7829072699760127,645.0074999999999,2.1723010073805518,1578.4524999999999,7.293441688713688,47.8325,0.4116936563352281,521.47,0.5987765303795312,0.0,
1,5,222,0.0,0.0007,518.07,642.13,1580.45,47.87,521.5,217,518.796,1.5964898997488188,644.432,2.2792915566025815,1578.852,6.3791629544949116,47.839999999999996,0.35693136595149716,521.476,0.5187292164511385,0.0,
1,6,222,-0.0007,0.0003,518.58,645.09,1587.87,47.37,522.01,216,518.9979999999999,1.4607087320886358,644.71,2.2522988256445693,1579.952,7.511206294597463,47.67999999999999,0.3512833614050115,521.73,0.3525620512761138,0.0,
1,7,222,0.0042,0.0007,516.11,645.54,1593.84,48.16,521.85,215,518.536,1.9668451896374592,644.438,1.9883586195653633,1581.954,9.791201662717487,47.86,0.31048349392519947,521.6600000000001,0.2579728667903135,0.0,
1,8,222,-0.0007,0.0003,520.39,641.94,1578.43,46.84,520.9,214,518.296,1.5244933584637141,643.466,1.7140099182909083,1584.08,6.575598832045841,47.666,0.5557247520130828,521.56,0.42608684560779414,0.0,
1,9,222,0.0042,0.0007,518.81,643.57,1575.15,47.07,519.74,213,518.392,1.5421802748057545,643.654,1.6497363425710354,1583.148,7.584900790386207,47.462,0.5483338399187193,521.2,0.9206247878478725,0.0,
1,10,222,-0.0007,0.0003,515.88,644.09,1584.34,48.05,522.36,212,517.954,1.9209711085802512,644.046,1.4129508130150064,1583.926,7.437037716725794,47.498,0.5864042973921714,521.372,1.0604102979507386,0.0,
1,11,222,0.001,0.0003,516.92,641.44,1581.53,48.11,521.11,211,517.622,1.9291630309541263,643.316,1.6600090361198385,1582.6580000000001,7.130650040494295,47.646,0.6372048336288739,521.192,0.9996849503718481,0.0,
1,12,222,-0.0007,0.0007,518.21,645.94,1575.36,48.05,521.88,210,518.042,1.736683621158453,643.3960000000001,1.7978959925422895,1578.962,3.9782621834162213,47.624,0.6165873822906223,521.198,1.0046989598879656,0.0,
1,13,222,-0.0007,0.0007,519.29,640.5,1581.64,48.41,521.53,209,517.8219999999999,1.4023801196537662,643.108,2.1669033204090216,1579.604,4.127169732395315,47.938,0.5076613044146552,521.324,0.9974617787163306,0.0,
1,14,222,0.0042,0.0003,521.68,641.27,1579.5,46.95,522.6,208,518.396,2.2431740904352298,642.6479999999999,2.2852067740140223,1580.4740000000002,3.3362523885342728,47.914,0.5591779680924389,521.896,0.6047561492038732,0.0,
1,15,222,0.001,0.0003,519.13,639.42,1572.68,47.77,521.68,207,519.046,1.7480932469407338,641.7139999999999,2.4933672011958916,1578.142,3.972772331760189,47.858,0.556165443011332,521.76,0.5481331954916806,0.0,
1,16,222,0.0042,0.0003,519.73,643.42,1584.22,47.38,521.21,206,519.608,1.2837523125586408,642.11,2.5941665328192585,1578.68,4.667654657319842,47.712,0.5691397016550483,521.78,0.5195671275205023,0.0,
1,17,222,0.001,0.0003,517.81,644.83,1578.07,47.27,521.25,205,519.528,1.3998642791355635,641.8879999999999,2.2023782599724733,1579.222,4.330960632469392,47.556,0.5601606912306548,521.654,0.5637641350777259,0.0,
1,18,222,-0.0007,0.0007,519.39,640.0,1577.14,47.06,524.44,204,519.548,1.396323744695237,641.7879999999999,2.290735689685597,1578.322,4.1673396789797215,47.286,0.3191081321433513,522.236,1.35315557124812,0.0,
1,19,222,0.0,0.0001,516.64,640.2,1577.22,47.44,519.39,203,518.54,1.2874004815907238,641.5740000000001,2.3986621271032074,1577.8660000000002,4.130796533357517,47.384,0.2598653497487021,521.5939999999999,1.8186890883270692,0.0,
1,20,222,-0.0007,0.0001,520.95,640.15,1575.48,48.28,522.47,202,518.904,1.6902011714585838,641.72,2.252543007358405,1578.426,3.3721032012675614,47.486000000000004,0.4668832830590665,521.7520000000001,1.8618324306982974,0.0,
1,21,222,-0.0007,0.0003,518.27,643.77,1579.15,47.63,522.88,201,518.612,1.6371072047975452,641.79,2.322918423018623,1577.412,1.350655396464297,47.536,0.46607939237860646,522.086,1.8898756572853965,0.0,
1,22,222,0.0042,0.0001,520.51,646.2,1583.27,48.16,520.52,200,519.152,1.747975972374878,642.0640000000001,2.802450713215039,1578.452,2.9904966142765037,47.714,0.5072277594927193,521.9399999999999,1.9958331593597587,0.0,
1,23,222,0.0,0.0001,521.16,646.99,1575.06,47.82,520.91,199,519.5060000000001,1.9729749111430184,643.4620000000001,3.2267739307239967,1578.036,3.342578346127239,47.866,0.35253368633366144,521.234,1.4363251720971717,0.0,
1,24,222,0.001,0.0007,520.17,641.61,1583.7,48.15,520.43,198,520.2120000000001,1.1516596719515912,643.7439999999999,2.917187001205118,1579.3319999999999,4.114252058394168,48.008,0.2717903603882905,521.442,1.1491170523493046,0.0,
1,25,222,0.001,0.0001,516.85,642.1,1578.65,48.12,522.61,197,519.392,1.781970819065192,644.134,2.4013183878861715,1579.966,3.582098546941668,47.976,0.23922792479139512,521.47,1.1816725434738602,0.0,
1,26,222,-0.0007,0.0001,518.39,641.88,1582.09,48.34,521.87,196,519.4159999999999,1.7637970404782566,643.7560000000001,2.6124184197788836,1580.5539999999999,3.6552195556494964,48.118,0.1876699230031174,521.268,0.942507294401445,0.0,
1,27,222,0.001,0.0003,517.58,642.38,1572.06,48.43,522.62,195,518.8299999999999,1.795898104013711,642.992,2.2528137961223997,1578.3120000000001,4.823926823657216,48.172000000000004,0.23552069972720957,521.6879999999999,0.9924313578278251,0.0,
1,28,222,0.001,0.0003,516.46,644.9,1585.29,47.96,522.15,194,517.89,1.47232808843694,642.5740000000001,1.330744152720225,1580.358,5.2504161739810815,48.2,0.18641351882305512,521.9359999999999,0.9000444433470982,0.0,
1,29,222,0.0042,0.0007,516.19,639.81,1564.75,47.46,521.27,193,517.0939999999999,0.8936610095559986,642.214,1.8128651356344394,1576.568,8.2293329012744,48.062,0.38369258528149464,522.104,0.5645174930859019,0.0,
1,30,222,0.0,0.0007,517.36,640.26,1584.61,48.19,524.31,192,517.196,0.8879358084910254,641.846,2.017047346989798,1577.76,9.001699839474664,48.076,0.38759514960844993,522.444,1.1518593664158636,0.0,
1,31,222,-0.0007,0.0003,519.16,638.7,1578.97,48.1,521.09,191,517.35,1.1690594510120258,641.21,2.4570103784880613,1577.136,8.730560119488192,48.028000000000006,0.36065218701679463,522.288,1.2931821217446298,0.0,71.37281799316406
1,32,222,0.0042,0.0007,519.79,647.34,1584.82,47.72,521.7,190,517.792,1.6117288853899576,642.202,3.7227436119076227,1579.6879999999999,8.740784861784485,47.886,0.2969511744378185,522.104,1.2995691593755005,0.0,71.37281036376953
1,33,222,-0.0007,0.0001,520.97,644.49,1569.98,47.79,521.5,189,518.6940000000001,1.9136431224238284,642.12,3.652307489793129,1576.6259999999997,8.966450245219455,47.852,0.2960912021658202,521.9739999999999,1.3260580681101277,0.0,71.37281036376953
