engine_id,trend_slope,accelerating_degradation
1,-0.39820204178867935,False
2,-0.4005596972072104,False
3,-0.3480988461358038,False
4,-0.39350166558391036,False
5,-0.3468586537750374,False
6,-0.3391773451656124,False
7,-0.46262924216225215,False
8,-0.6242761871556334,True
9,-0.4486823311919864,False
10,-0.5360071846218394,True
11,-0.6172965231345665,True
12,-0.5520864256335899,True
13,-0.6690798651136625,True
14,-0.2956623437960936,False
15,-0.40045753188320077,False
16,-0.4188681101425794,False
17,-0.6721220764998153,True
18,-0.43579369613269137,False
19,-0.34583109382451266,False
20,-0.4223110053902512,False
